Date,Close/Last,Volume,Open,High,Low
10/28/2020,$34.6514,32122870,$35.9709,$36.2935,$34.5243
10/27/2020,$36.5867,34963530,$36.2055,$37.2612,$36.0394
10/26/2020,$37.0657,32052300,$37.0168,$37.1635,$36.6356
10/23/2020,$37.3199,28992330,$37.0755,$37.4225,$36.7992
10/22/2020,$36.5867,18257720,$36.2446,$36.7236,$36.1958
10/21/2020,$36.2446,18012250,$36.5134,$36.6063,$36.2251
10/20/2020,$36.6454,21238010,$37.0168,$37.0364,$36.5085
10/19/2020,$36.9484,30295370,$37.5544,$37.9727,$36.792
10/16/2020,$37.095,40790770,$36.2349,$37.2612,$36.186
10/15/2020,$35.7266,15272510,$35.8048,$35.9123,$35.5897
10/14/2020,$36.0296,20991130,$36.1762,$36.4597,$35.7461
10/13/2020,$36.0687,20439460,$35.8439,$36.2886,$35.8048
10/12/2020,$35.9905,18419240,$35.8732,$36.3424,$35.6435
10/09/2020,$35.9612,22454880,$36.0003,$36.2812,$35.7657
10/08/2020,$36.0589,16942530,$35.7754,$36.3424,$35.6875
10/07/2020,$35.6484,21024710,$35.4431,$35.7657,$35.2183
10/06/2020,$35.3551,23940630,$36.1664,$36.1958,$35.2769
10/05/2020,$35.9221,18406110,$35.707,$36.0491,$35.5213
10/02/2020,$35.5604,20362170,$35.2476,$35.8341,$35.2183
10/01/2020,$35.5506,21366560,$36.0785,$36.2544,$35.3481
09/30/2020,$35.8732,21469910,$35.4529,$36.1264,$35.4333
09/29/2020,$35.3551,12837610,$35.6093,$35.7168,$35.2232
09/28/2020,$35.5702,14273520,$35.3454,$35.751,$35.3454
09/25/2020,$35.2378,13629630,$34.7393,$35.3356,$34.7198
09/24/2020,$34.9544,19791160,$35.1401,$35.2281,$34.7393
09/23/2020,$35.189,21918880,$35.5213,$35.5583,$35.1548
09/22/2020,$35.4333,21562860,$35.0032,$35.5115,$34.9348
09/21/2020,$35.2085,25245660,$35.5506,$35.6581,$34.578
09/18/2020,$35.8048,30070830,$35.9514,$36.2349,$35.7461
